iter	RMSE
0	1.078676231
1	0.95457445
2	0.8516079573
3	0.7571306678
4	0.690818938
5	0.6311096614
6	0.5787556828
7	0.5414129228
8	0.5088656729
9	0.4819365875
10	0.4618724257
11	0.4440322507
12	0.4288545416
13	0.4149615717
14	0.4043865396
15	0.3934344669
16	0.3864592591
17	0.3788972796
18	0.3712019025
19	0.3649352546
20	0.3597333978
21	0.3546003685
22	0.3495200196
23	0.3417001714
24	0.3350019031
25	0.3304098649
26	0.3267328552
27	0.3224721969
28	0.3172524529
29	0.3146679773
30	0.3117261945
31	0.3096137185
32	0.3073859597
33	0.3039613874
34	0.3014807833
35	0.297906597
36	0.2962320679
37	0.2940342364
38	0.2911610338
39	0.2879426652
40	0.2863514831
41	0.283735697
42	0.2817832462
43	0.2804539642
44	0.2785971947
45	0.2751007193
46	0.2730155421
47	0.2708981188
48	0.267415732
49	0.2642709603
50	0.2596437377
51	0.2581437901
52	0.2556206631
53	0.2534418137
54	0.2516644023
55	0.2486641412
56	0.2463567237
57	0.2448550703
58	0.2425871365
59	0.2400442857
60	0.2361356981
61	0.2340952826
62	0.2315444928
63	0.2295160399
64	0.2268626598
65	0.2253845075
66	0.2225393237
67	0.2210526505
68	0.2185456554
69	0.2155177424
70	0.2130696371
71	0.2112193691
72	0.2094911504
73	0.2076332313
74	0.2064515881
75	0.2028577855
76	0.2013283391
77	0.1994302226
78	0.1982270331
79	0.1958596317
80	0.1931214903
81	0.1911913618
82	0.1898104366
83	0.1868781479
84	0.1853872124
85	0.1851485023
86	0.1829135358
87	0.1809228925
88	0.1788209583
89	0.1767597765
90	0.1750281536
91	0.1738966022
92	0.1722518124
93	0.1711475019
94	0.1698524811
95	0.1677782192
96	0.1666683783
97	0.1646752848
98	0.1618125836
99	0.1594124482
100	0.1581212574
101	0.1570239025
102	0.1552563275
103	0.1531116109
104	0.1516141834
105	0.1503290915
106	0.1472832061
107	0.1466853344
108	0.1446815626
109	0.1434773828
110	0.1420952017
111	0.1411099591
112	0.1402154458
113	0.137603753
114	0.1350301473
115	0.1341807358
116	0.1327131875
117	0.1315523214
118	0.1303336886
119	0.1287282396
120	0.1283189795
121	0.1267044985
122	0.124770514
123	0.1236837611
124	0.1220753194
125	0.1210748795
126	0.1192412931
127	0.1187708801
128	0.1172496067
129	0.1159664158
130	0.1149400355
131	0.1138029296
132	0.1121723002
133	0.1104973239
134	0.1085261182
135	0.1071261588
136	0.1062541046
137	0.1052492707
138	0.104100983
139	0.1026430848
140	0.1010777997
141	0.1003138843
142	0.09955330773
143	0.09860732705
144	0.09756691862
145	0.09651779946
146	0.09584038332
147	0.09522405838
148	0.09398859803
149	0.09231094428
150	0.09148869379
151	0.09062932584
152	0.08960765642
153	0.08874287093
154	0.08807103976
155	0.08751320846
156	0.08644907965
157	0.08589256744
158	0.08466863738
159	0.08403289115
160	0.08283218431
161	0.08217453849
162	0.08110021499
163	0.08020785343
164	0.07893380478
165	0.07793231089
166	0.07687028791
167	0.07547130153
168	0.07420017264
169	0.0729308386
170	0.07207968769
171	0.07170668773
172	0.07068950053
173	0.06987925028
174	0.06967873427
175	0.06916321979
