iter	Passed	Remaining
0	15	2630
1	34	2973
2	53	3099
3	80	3475
4	109	3730
5	121	3442
6	137	3317
7	148	3125
8	158	2949
9	174	2901
10	185	2781
11	196	2682
12	207	2603
13	220	2552
14	233	2505
15	247	2478
16	270	2534
17	293	2578
18	330	2726
19	349	2725
20	366	2705
21	381	2667
22	395	2634
23	411	2605
24	427	2581
25	444	2562
26	462	2551
27	480	2542
28	499	2534
29	522	2542
30	547	2558
31	567	2551
32	591	2561
33	607	2535
34	619	2494
35	633	2464
36	649	2440
37	665	2416
38	680	2390
39	702	2389
40	718	2366
41	735	2345
42	750	2322
43	764	2293
44	777	2262
45	791	2236
46	805	2211
47	823	2195
48	840	2178
49	857	2161
50	872	2137
51	885	2111
52	900	2089
53	916	2070
54	931	2049
55	945	2025
56	961	2007
57	977	1987
58	991	1965
59	1009	1951
60	1024	1932
61	1041	1915
62	1055	1892
63	1072	1876
64	1087	1856
65	1103	1839
66	1130	1838
67	1164	1849
68	1209	1875
69	1243	1883
70	1262	1866
71	1279	1847
72	1297	1830
73	1313	1810
74	1333	1795
75	1354	1782
76	1388	1784
77	1405	1765
78	1421	1745
79	1438	1725
80	1454	1706
81	1471	1686
82	1486	1665
83	1502	1645
84	1517	1624
85	1534	1605
86	1552	1588
87	1569	1569
88	1587	1552
89	1605	1534
90	1626	1518
91	1643	1500
92	1663	1484
93	1682	1467
94	1698	1448
95	1714	1428
96	1729	1408
97	1747	1391
98	1767	1375
99	1787	1358
100	1808	1342
101	1827	1326
102	1843	1306
103	1860	1287
104	1878	1270
105	1895	1251
106	1909	1231
107	1926	1213
108	1944	1195
109	1962	1177
110	1978	1158
111	1996	1140
112	2014	1123
113	2051	1115
114	2068	1097
115	2083	1077
116	2095	1056
117	2107	1035
118	2121	1016
119	2134	996
120	2147	976
121	2163	957
122	2180	939
123	2198	922
124	2220	905
125	2236	887
126	2254	869
127	2276	853
128	2293	835
129	2313	818
130	2331	800
131	2348	782
132	2361	763
133	2376	744
134	2390	726
135	2406	707
136	2423	690
137	2439	671
138	2457	654
139	2476	636
140	2496	619
141	2513	601
142	2530	583
143	2547	566
144	2562	547
145	2577	529
146	2595	511
147	2610	493
148	2627	476
149	2643	458
150	2662	440
151	2678	422
152	2694	405
153	2708	386
154	2725	369
155	2744	351
156	2763	334
157	2779	316
158	2796	299
159	2812	281
160	2827	263
161	2845	245
162	2861	228
163	2877	210
164	2897	193
165	2914	175
166	2930	157
167	2946	140
168	2963	122
169	2983	105
170	3004	87
171	3019	70
172	3034	52
173	3051	35
174	3069	17
175	3086	0
